OPTION_ID,SYSTEM_NM,SUBSYSTEM_NM,COMPONENT_GROUP,OPTION_NM,COST_USD,WEIGHT_LBS,SOURCE_COUNTRY,PERFORMANCE_CATEGORY,PERFORMANCE_SCORE,DESCRIPTION,OPTION_TIER,SPECS
4,Cab,Cab Structure,Cab Type,Sleeper 48-inch Flat Roof,6500.00,1800.00,USA,Comfort,3.0,Compact sleeper for budget-conscious fleets.,STANDARD,"{""cab_class"":""compact-sleeper"",""cab_type"":""sleeper"",""interior_height_in"":65,""sleeper_length_in"":48}"
6,Cab,Cab Structure,Cab Type,Sleeper 72-inch Mid Roof,12000.00,2200.00,USA,Comfort,4.5,Mid-roof sleeper with stand-up height.,PREMIUM,"{""cab_class"":""mid-roof"",""cab_type"":""sleeper"",""interior_height_in"":76,""sleeper_length_in"":72}"
7,Cab,Cab Structure,Cab Type,Sleeper 80-inch Raised Roof,22000.00,2600.00,USA,Comfort,5.0,Full-height raised roof sleeper.,FLAGSHIP,"{""cab_class"":""raised-roof"",""cab_type"":""sleeper"",""interior_height_in"":84,""sleeper_length_in"":80}"
14,Cab,Interior,Interior Trim,Vinyl Work Trim,0.00,120.00,Mexico,Comfort,1.0,Durable vinyl surfaces for work applications.,ENTRY,"{""durability"":""work-grade"",""material"":""vinyl"",""trim_level"":1}"
20,Cab,Interior,Seating Configuration,Fixed Base Driver Seat,0.00,85.00,Mexico,Comfort,1.0,Fixed position driver seat with basic adjustment.,ENTRY,"{""heating"":false,""seat_type"":""fixed-base"",""suspension"":""none"",""ventilation"":false}"
26,Cab,Sleeper Compartment,Bunk Configuration,No Sleeper (Day Cab),0.00,0.00,USA,Comfort,1.0,Day cab configuration - no sleeping quarters.,ENTRY,"{""bunk_type"":""none"",""bunk_width_in"":0,""mattress"":""none""}"
31,Cab,Sleeper Compartment,Sleeper Amenities,No Sleeper Amenities,0.00,0.00,USA,Comfort,1.0,Day cab or basic sleeper - no amenities.,ENTRY,"{""amenity_level"":0,""features"":[]}"
34,Cab,Sleeper Compartment,Sleeper Amenities,Premium Sleeper Package,5500.00,145.00,USA,Comfort,4.0,"Microwave, larger fridge, TV mount.",PREMIUM,"{""amenity_level"":3,""features"":[""microwave"",""fridge"",""TV-mount""]}"
35,Cab,Sleeper Compartment,Sleeper Amenities,Luxury Living Package,12000.00,220.00,USA,Comfort,5.0,"Full kitchen, diesel generator, smart TV.",FLAGSHIP,"{""amenity_level"":4,""features"":[""kitchen"",""generator"",""smart-TV""]}"
40,Chassis,Fifth Wheel,Fifth Wheel Type,Air-Slide Fifth Wheel,4500.00,320.00,USA,Hauling,3.5,Air-powered sliding mechanism.,PREMIUM,"{""fifth_wheel_class"":""air-slide"",""gcwr_rating_lb"":85000,""king_pin_size_in"":2.5}"
42,Chassis,Fifth Wheel,Fifth Wheel Type,Heavy-Haul Fifth Wheel,8500.00,480.00,USA,Hauling,5.0,Maximum GCWR capability.,FLAGSHIP,"{""fifth_wheel_class"":""heavy-haul"",""gcwr_rating_lb"":120000,""king_pin_size_in"":3.5}"
47,Chassis,Frame Assembly,Frame Rails,Extra Heavy-Duty Frame,7500.00,3800.00,USA,Durability,3.5,Full-length reinforcement.,PREMIUM,"{""frame_class"":""extra-heavy"",""rbm_rating_in_lb"":3200000,""yield_strength_psi"":120000}"
49,Chassis,Frame Assembly,Frame Rails,Vocational Heavy-Haul Frame,14000.00,4500.00,USA,Durability,5.0,Max RBM rating.,FLAGSHIP,"{""frame_class"":""vocational"",""rbm_rating_in_lb"":3800000,""yield_strength_psi"":140000}"
53,Chassis,Frame Assembly,Wheelbase,Standard Wheelbase 210-inch,800.00,45.00,USA,Hauling,3.0,General freight.,STANDARD,"{""application"":""general-freight"",""turning_radius_ft"":32,""wheelbase_in"":210}"
55,Chassis,Frame Assembly,Wheelbase,Extended Wheelbase 245-inch,1800.00,95.00,USA,Hauling,4.5,Larger sleepers.,PREMIUM,"{""application"":""sleeper"",""turning_radius_ft"":40,""wheelbase_in"":245}"
56,Chassis,Frame Assembly,Wheelbase,Long Wheelbase 280-inch,3500.00,150.00,USA,Hauling,5.0,Heavy haul.,FLAGSHIP,"{""application"":""heavy-haul"",""turning_radius_ft"":48,""wheelbase_in"":280}"
61,Chassis,Fuel System,DEF Tank Location,Saddle-Mount 18-Gallon,950.00,48.00,USA,Emissions,4.0,Large capacity heated.,PREMIUM,"{""def_capacity_gal"":18,""def_location"":""saddle-mount"",""heated"":true}"
62,Chassis,Fuel System,DEF Tank Location,Dual Tank 26-Gallon,1800.00,72.00,USA,Emissions,5.0,Maximum DEF capacity.,FLAGSHIP,"{""def_capacity_gal"":26,""def_location"":""dual-tank"",""heated"":true}"
67,Chassis,Fuel System,Fuel Tank Configuration,Dual 150-Gallon Aluminum,3200.00,255.00,USA,Economy,3.5,1800-mile range.,PREMIUM,"{""range_miles"":1800,""tank_capacity_gal"":300,""tank_count"":2,""tank_material"":""aluminum""}"
70,Electrical,Electronics,ADAS Features,Basic Safety Suite,0.00,15.00,Japan,Safety,1.0,Basic ABS and stability control.,ENTRY,"{""adas_level"":0,""features"":[""ABS"",""stability-control""],""sensors"":[""wheel-speed""]}"
80,Electrical,Electronics,Telematics,Advanced Fleet Management,3500.00,8.00,USA,Economy,4.0,"Real-time diagnostics, predictive maintenance.",PREMIUM,"{""eld_compliant"":true,""features"":[""diagnostics"",""predictive-maintenance"",""real-time""],""telematics_level"":4}"
81,Electrical,Electronics,Telematics,Enterprise Telematics Suite,6500.00,12.00,USA,Economy,5.0,"Full fleet intelligence, route optimization.",FLAGSHIP,"{""eld_compliant"":true,""features"":[""fleet-intelligence"",""route-optimization"",""AI-analytics""],""telematics_level"":5}"
84,Electrical,Lighting,Headlights,Projector Halogen Lights,650.00,12.00,USA,Safety,2.5,Projector-style with improved focus.,STANDARD,"{""light_class"":""projector"",""light_type"":""projector-halogen"",""lumens"":1800}"
90,Electrical,Power Generation,Alternator,250 Amp Alternator,850.00,35.00,USA,Power,2.5,High-output for accessories.,STANDARD,"{""electrical_class"":""high-output"",""output_amps"":250}"
92,Electrical,Power Generation,Alternator,320 Amp Dual Alternator,2200.00,65.00,USA,Power,4.0,Dual alternator for heavy demands.,PREMIUM,"{""electrical_class"":""dual"",""output_amps"":320}"
93,Electrical,Power Generation,Alternator,400 Amp Triple Alternator,4500.00,95.00,USA,Power,5.0,Maximum electrical capacity.,FLAGSHIP,"{""electrical_class"":""triple"",""output_amps"":400}"
98,Electrical,Power Generation,Battery System,Quad AGM Battery System,1200.00,240.00,USA,Power,4.0,Four AGM batteries with isolator.,PREMIUM,"{""battery_count"":4,""battery_type"":""AGM"",""cca_rating"":4000}"
102,Engine,Cooling System,Fan Assembly,Viscous Clutch Fan,650.00,58.00,USA,Cooling,2.5,Temperature-controlled viscous clutch.,STANDARD,"{""cfm_rating"":6000,""fan_type"":""viscous-clutch"",""max_cooling_btu"":320000}"
123,Engine,Engine Block,Engine Displacement,13L Class 8 Diesel,9500.00,1450.00,USA,Power,4.0,Industry-standard Class 8 engine.,PREMIUM,"{""displacement_liters"":13,""engine_weight_lb"":2450,""max_hp_supported"":550,""max_torque_supported"":1850}"
182,Rear Axle,Rear Drive Assembly,Axle Ratio,3.73:1 Heavy-Haul Ratio,650.00,0.00,USA,Economy,5.0,Max pulling power.,FLAGSHIP,"{""application"":""heavy-haul"",""ratio"":3.73,""ratio_class"":""heavy-haul""}"
185,Rear Axle,Rear Drive Assembly,Drive Configuration,6x2 Pusher Axle,2500.00,450.00,USA,Hauling,3.0,Single drive with liftable pusher.,STANDARD,"{""config"":""6x2-pusher"",""drive_axles"":1,""total_axles"":3,""traction_class"":""improved""}"
186,Rear Axle,Rear Drive Assembly,Drive Configuration,6x4 Tandem Drive,5500.00,850.00,USA,Hauling,4.0,Traditional tandem drive.,PREMIUM,"{""config"":""6x4"",""drive_axles"":2,""total_axles"":3,""traction_class"":""tandem""}"
187,Rear Axle,Rear Drive Assembly,Drive Configuration,6x6 All-Wheel Drive,15000.00,1200.00,USA,Hauling,5.0,Full AWD for severe conditions.,FLAGSHIP,"{""config"":""6x6"",""drive_axles"":3,""total_axles"":3,""traction_class"":""all-wheel""}"
188,Rear Axle,Rear Drive Assembly,Traction Control,Basic ABS Only,0.00,25.00,USA,Safety,1.0,Standard ABS.,ENTRY,"{""stability_control"":false,""traction_level"":1,""traction_type"":""ABS-only""}"
220,Safety,Passive Safety,Mirror System,Heated Power Mirrors,650.00,32.00,USA,Safety,2.5,Electric adjust with heaters.,STANDARD,"{""heated"":true,""mirror_type"":""power-heated"",""power"":true}"
228,Transmission,Cooling,Transmission Cooler,Heavy-Duty Trans Cooler,1500.00,38.00,USA,Cooling,4.0,Large cooler with thermostat.,PREMIUM,"{""cooler_type"":""heavy-duty"",""cooling_capacity_btu"":55000}"
230,Transmission,PTO System,PTO Configuration,No PTO Provision,0.00,0.00,USA,Hauling,1.0,Linehaul without PTO.,ENTRY,"{""pto_hp"":0,""pto_type"":""none""}"
235,Transmission,PTO System,PTO Configuration,Heavy-Duty PTO Package,3500.00,65.00,USA,Hauling,5.0,Maximum PTO capacity.,FLAGSHIP,"{""pto_hp"":180,""pto_type"":""heavy-duty""}"
238,Transmission,Transmission Assembly,Clutch System,15.5-inch Standard Clutch,650.00,115.00,USA,Durability,2.5,Standard Class 8 clutch.,STANDARD,"{""clutch_class"":""standard"",""clutch_diameter_in"":15.5,""torque_capacity_lb_ft"":1650}"
246,Transmission,Transmission Assembly,Gear Ratios,Wide-Range Ratios,1200.00,0.00,USA,Economy,4.0,Expanded ratio coverage.,PREMIUM,"{""gear_spread"":16.5,""overdrive"":true,""ratio_type"":""wide-range""}"
247,Transmission,Transmission Assembly,Gear Ratios,Deep-Reduction Heavy-Haul,2500.00,0.00,USA,Economy,5.0,Maximum ratio spread.,FLAGSHIP,"{""gear_spread"":18.2,""overdrive"":true,""ratio_type"":""deep-reduction""}"
119,Engine,Engine Block,Engine Displacement,7.2L Regional Diesel,1500.00,1050.00,USA,Power,1.5,Optimized for regional routes.,STANDARD,"{""displacement_liters"":7.2,""engine_weight_lb"":1280,""max_hp_supported"":350,""max_torque_supported"":1100}"
122,Engine,Engine Block,Engine Displacement,11L Mid-Plus Diesel,6500.00,1350.00,USA,Power,3.5,Versatile mid-range power.,PREMIUM,"{""displacement_liters"":11,""engine_weight_lb"":2100,""max_hp_supported"":480,""max_torque_supported"":1700}"
125,Engine,Engine Block,Engine Displacement,16L Maximum Diesel,22000.00,1800.00,USA,Power,5.0,Largest available displacement.,FLAGSHIP,"{""displacement_liters"":16,""engine_weight_lb"":3100,""max_hp_supported"":650,""max_torque_supported"":2200}"
24,Cab,Interior,Seating Configuration,Sport Bucket Seats,4500.00,115.00,Germany,Comfort,4.0,Performance-oriented bucket seats.,PREMIUM,"{""heating"":true,""seat_type"":""sport-bucket"",""suspension"":""mechanical"",""ventilation"":false}"
73,Electrical,Electronics,ADAS Features,Commercial ADAS Plus,5500.00,35.00,USA,Safety,3.5,Mid-tier safety package.,STANDARD,"{""adas_level"":2,""features"":[""FCW"",""LDW"",""AEB""],""sensors"":[""front-camera"",""front-radar"",""side-radar""]}"
85,Electrical,Lighting,Headlights,Bi-LED Projector System,1500.00,9.00,Japan,Safety,3.5,Mid-range LED system.,STANDARD,"{""light_class"":""mid-LED"",""light_type"":""bi-LED"",""lumens"":3000}"
213,Safety,Active Safety,Stability Control,Enhanced ABS Plus,950.00,50.00,USA,Safety,2.0,ABS with enhanced sensors.,STANDARD,"{""abs_channels"":6,""rollover_protection"":false,""stability_level"":2}"
221,Safety,Passive Safety,Mirror System,Power Fold Mirrors,1200.00,30.00,USA,Safety,3.5,Electric fold with memory.,STANDARD,"{""heated"":true,""memory"":true,""mirror_type"":""power-fold"",""power"":true}"
66,Chassis,Fuel System,Fuel Tank Configuration,Single 150-Gallon Aluminum,2200.00,128.00,USA,Economy,3.0,900-mile range single tank.,STANDARD,"{""range_miles"":900,""tank_capacity_gal"":150,""tank_count"":1,""tank_material"":""aluminum""}"
48,Chassis,Frame Assembly,Frame Rails,Aluminum Hybrid Frame,12000.00,2400.00,USA,Durability,4.5,Lightweight aluminum frame.,PREMIUM,"{""frame_class"":""aluminum-hybrid"",""rbm_rating_in_lb"":2000000,""yield_strength_psi"":90000}"
39,Chassis,Fifth Wheel,Fifth Wheel Type,Lightweight Aluminum Fifth,3500.00,180.00,USA,Hauling,3.0,Weight-saving aluminum design.,STANDARD,"{""fifth_wheel_class"":""lightweight"",""gcwr_rating_lb"":75000,""king_pin_size_in"":2}"
237,Transmission,Transmission Assembly,Clutch System,14-inch Heavy-Duty Clutch,450.00,105.00,USA,Durability,2.0,Enhanced 14-inch clutch.,STANDARD,"{""clutch_class"":""heavy-duty"",""clutch_diameter_in"":14,""torque_capacity_lb_ft"":1400}"
245,Transmission,Transmission Assembly,Gear Ratios,Close-Ratio Performance,850.00,0.00,USA,Economy,3.5,Close-ratio for performance.,STANDARD,"{""gear_spread"":9.8,""overdrive"":false,""ratio_type"":""close-ratio""}"
104,Engine,Cooling System,Fan Assembly,Dual Electric Fans,2500.00,65.00,USA,Cooling,4.0,Redundant dual fan system.,PREMIUM,"{""cfm_rating"":7500,""fan_type"":""dual-electric"",""max_cooling_btu"":450000}"
226,Transmission,Cooling,Transmission Cooler,Auxiliary Trans Cooler,950.00,32.00,USA,Cooling,2.5,Additional cooling capacity.,STANDARD,"{""cooler_type"":""auxiliary"",""cooling_capacity_btu"":35000}"
59,Chassis,Fuel System,DEF Tank Location,Integrated DEF 10-Gallon,650.00,30.00,USA,Emissions,2.5,Frame-integrated DEF tank.,STANDARD,"{""def_capacity_gal"":10,""def_location"":""integrated"",""heated"":true}"
114,Engine,Emissions System,DEF System,Low-Consumption SCR,2500.00,175.00,USA,Emissions,2.5,Reduced DEF consumption.,STANDARD,"{""def_consumption_pct"":2,""emissions_standard"":""EPA-2021"",""nox_reduction_pct"":92}"
131,Engine,Engine Block,Power Rating,450 HP / 1650 lb-ft,6500.00,25.00,USA,Power,3.5,High-output for heavy loads.,PREMIUM,"{""cooling_requirement_btu"":330000,""horsepower"":450,""power_class"":""high-output"",""torque_lb_ft"":1650}"
133,Engine,Engine Block,Power Rating,565 HP / 1850 lb-ft,12000.00,40.00,USA,Power,4.5,Maximum power for heavy haul.,FLAGSHIP,"{""cooling_requirement_btu"":420000,""horsepower"":565,""power_class"":""maximum"",""torque_lb_ft"":1850}"
127,Engine,Engine Block,Power Rating,300 HP / 860 lb-ft Regional,1200.00,5.00,USA,Power,1.5,Regional delivery power.,STANDARD,"{""cooling_requirement_btu"":210000,""horsepower"":300,""power_class"":""regional"",""torque_lb_ft"":860}"
130,Engine,Engine Block,Power Rating,400 HP / 1400 lb-ft Mid-Range,4500.00,20.00,USA,Power,3.0,Fleet workhorse power.,PREMIUM,"{""cooling_requirement_btu"":290000,""horsepower"":400,""power_class"":""mid-range"",""torque_lb_ft"":1400}"
134,Engine,Engine Block,Power Rating,605 HP / 2050 lb-ft Maximum,18000.00,55.00,USA,Power,5.0,Ultimate heavy haul power.,FLAGSHIP,"{""cooling_requirement_btu"":450000,""horsepower"":605,""power_class"":""ultimate"",""torque_lb_ft"":2050}"
129,Engine,Engine Block,Power Rating,380 HP / 1250 lb-ft Fleet,3500.00,18.00,USA,Power,2.5,Fleet-optimized power.,STANDARD,"{""cooling_requirement_btu"":270000,""horsepower"":380,""power_class"":""fleet"",""torque_lb_ft"":1250}"
132,Engine,Engine Block,Power Rating,500 HP / 1750 lb-ft Heavy,8500.00,32.00,USA,Power,4.0,Heavy-duty power rating.,PREMIUM,"{""cooling_requirement_btu"":370000,""horsepower"":500,""power_class"":""heavy-duty"",""torque_lb_ft"":1750}"
140,Engine,Engine Block,Turbocharger,Twin VGT System,12000.00,85.00,Germany,Power,5.0,Dual variable geometry turbos.,FLAGSHIP,"{""boost_psi"":48,""max_hp_supported"":650,""turbo_type"":""twin-vgt""}"
179,Rear Axle,Rear Drive Assembly,Axle Ratio,3.08:1 Balanced Ratio,200.00,0.00,USA,Economy,2.5,Balanced gearing option.,STANDARD,"{""application"":""mixed"",""ratio"":3.08,""ratio_class"":""balanced""}"
181,Rear Axle,Rear Drive Assembly,Axle Ratio,3.55:1 Vocational Ratio,450.00,0.00,USA,Economy,4.0,Vocational applications.,PREMIUM,"{""application"":""vocational"",""ratio"":3.55,""ratio_class"":""vocational""}"
191,Rear Axle,Rear Drive Assembly,Traction Control,Differential Lock System,2500.00,42.00,USA,Safety,3.5,Manual diff lock option.,STANDARD,"{""stability_control"":false,""traction_level"":3,""traction_type"":""diff-lock""}"
202,Rear Axle,Wheels & Tires,Tire Type,All-Season Regional Tires,1800.00,365.00,USA,Economy,2.5,Regional all-season.,STANDARD,"{""fuel_efficiency"":3,""load_rating"":""H"",""tire_type"":""all-season"",""tread_life_miles"":100000}"
204,Rear Axle,Wheels & Tires,Tire Type,Wide-Base Single Tires,3500.00,290.00,Japan,Economy,4.0,Super singles for fuel savings.,PREMIUM,"{""fuel_efficiency"":5,""load_rating"":""L"",""tire_type"":""wide-base-single"",""tread_life_miles"":90000}"
208,Rear Axle,Wheels & Tires,Wheel Type,Aluminum Disc Wheels,1500.00,480.00,USA,Economy,2.5,Mid-range aluminum.,STANDARD,"{""wheel_class"":""mid-range"",""wheel_type"":""aluminum-disc"",""wheel_weight_lb"":50}"
211,Rear Axle,Wheels & Tires,Wheel Type,Forged Racing Wheels,6500.00,340.00,Germany,Economy,5.0,Lightweight forged design.,FLAGSHIP,"{""wheel_class"":""lightweight"",""wheel_type"":""forged-racing"",""wheel_weight_lb"":35}"
12,Cab,Climate Control,HVAC System,APU Climate System,4200.00,75.00,USA,Comfort,4.0,Idle-free APU climate.,PREMIUM,"{""cooling_btu"":28000,""hvac_type"":""APU"",""idle_free"":true,""zones"":2}"
30,Cab,Sleeper Compartment,Bunk Configuration,Studio Sleeper 60-inch,15000.00,420.00,USA,Comfort,5.0,Studio-style living space.,FLAGSHIP,"{""bunk_type"":""studio"",""bunk_width_in"":60,""mattress"":""premium""}"
33,Cab,Sleeper Compartment,Sleeper Amenities,Entertainment Package,3500.00,110.00,USA,Comfort,3.0,"TV, sound system, WiFi ready.",STANDARD,"{""amenity_level"":2,""features"":[""TV"",""sound-system"",""WiFi""]}"
22,Cab,Interior,Seating Configuration,Dual Air-Ride Team Seats,2800.00,190.00,USA,Comfort,2.5,Matched team seating.,STANDARD,"{""heating"":false,""seat_type"":""dual-air-ride"",""suspension"":""air"",""ventilation"":false}"
69,Chassis,Fuel System,Fuel Tank Configuration,Tri-Tank 225-Gallon,7500.00,395.00,USA,Economy,5.0,Three-tank maximum range.,FLAGSHIP,"{""range_miles"":1350,""tank_capacity_gal"":225,""tank_count"":3,""tank_material"":""aluminum""}"
52,Chassis,Frame Assembly,Wheelbase,Custom 195-inch,400.00,25.00,USA,Hauling,2.5,Compact custom wheelbase.,STANDARD,"{""application"":""custom"",""turning_radius_ft"":28,""wheelbase_in"":195}"
97,Electrical,Power Generation,Battery System,Dual AGM Premium,850.00,150.00,USA,Power,3.5,Premium AGM dual batteries.,STANDARD,"{""battery_count"":2,""battery_type"":""AGM"",""cca_rating"":2200}"
79,Electrical,Electronics,Telematics,Video Telematics,2500.00,6.00,USA,Economy,3.5,Dash cam integration.,STANDARD,"{""eld_compliant"":true,""features"":[""dash-cam"",""event-recording""],""telematics_level"":3}"
141,Engine,Engine Brake,Engine Brake Type,Exhaust Brake Only,0.00,25.00,USA,Safety,1.0,Basic exhaust brake.,ENTRY,"{""brake_stages"":1,""brake_type"":""exhaust"",""braking_hp"":100}"
143,Engine,Engine Brake,Engine Brake Type,Two-Stage Engine Brake,3500.00,55.00,USA,Safety,2.5,Variable two-stage jake.,STANDARD,"{""brake_stages"":2,""brake_type"":""compression"",""braking_hp"":400}"
145,Engine,Engine Brake,Engine Brake Type,Three-Stage Engine Brake,6500.00,75.00,USA,Safety,4.0,Three-level braking.,PREMIUM,"{""brake_stages"":3,""brake_type"":""compression"",""braking_hp"":550}"
240,Transmission,Transmission Assembly,Clutch System,Ceramic Heavy Clutch,2500.00,135.00,Germany,Durability,4.0,Ceramic friction material.,PREMIUM,"{""clutch_class"":""ceramic"",""clutch_diameter_in"":15.5,""torque_capacity_lb_ft"":2100}"
