OPTION_ID,SYSTEM_NM,SUBSYSTEM_NM,COMPONENT_GROUP,OPTION_NM,COST_USD,WEIGHT_LBS,SOURCE_COUNTRY,PERFORMANCE_CATEGORY,PERFORMANCE_SCORE,DESCRIPTION,OPTION_TIER,SPECS
38,Chassis,Fifth Wheel,Fifth Wheel Type,Sliding Fifth Wheel,2200.00,280.00,USA,Hauling,2.5,Manual slide for weight distribution.,STANDARD,"{""fifth_wheel_class"":""sliding"",""gcwr_rating_lb"":80000,""king_pin_size_in"":2}"
43,Chassis,Frame Assembly,Frame Rails,Standard Steel Frame,0.00,2800.00,USA,Durability,1.0,Standard duty rating.,ENTRY,"{""frame_class"":""standard"",""rbm_rating_in_lb"":1800000,""yield_strength_psi"":80000}"
45,Chassis,Frame Assembly,Frame Rails,Heavy-Duty Steel Frame,3500.00,3200.00,USA,Durability,2.5,Reinforced frame rails.,STANDARD,"{""frame_class"":""heavy-duty"",""rbm_rating_in_lb"":2800000,""yield_strength_psi"":120000}"
51,Chassis,Frame Assembly,Wheelbase,Short Wheelbase 170-inch,0.00,0.00,USA,Hauling,1.0,Urban maneuvering.,ENTRY,"{""application"":""urban-regional"",""turning_radius_ft"":25,""wheelbase_in"":170}"
57,Chassis,Fuel System,DEF Tank Location,Behind Cab 5-Gallon,0.00,25.00,USA,Emissions,1.0,Compact DEF tank.,ENTRY,"{""def_capacity_gal"":5,""def_location"":""behind-cab"",""heated"":false}"
58,Chassis,Fuel System,DEF Tank Location,Frame-Mount 13-Gallon,450.00,35.00,USA,Emissions,2.0,Standard frame-mounted.,STANDARD,"{""def_capacity_gal"":13,""def_location"":""frame-mount"",""heated"":true}"
63,Chassis,Fuel System,Fuel Tank Configuration,Single 100-Gallon Aluminum,0.00,85.00,USA,Economy,1.0,600-mile range.,ENTRY,"{""range_miles"":600,""tank_capacity_gal"":100,""tank_count"":1,""tank_material"":""aluminum""}"
65,Chassis,Fuel System,Fuel Tank Configuration,Dual 100-Gallon Aluminum,1800.00,170.00,USA,Economy,2.5,1200-mile range.,STANDARD,"{""range_miles"":1200,""tank_capacity_gal"":200,""tank_count"":2,""tank_material"":""aluminum""}"
68,Chassis,Fuel System,Fuel Tank Configuration,Dual 200-Gallon Aluminum,5500.00,340.00,USA,Economy,4.5,2400-mile range.,FLAGSHIP,"{""range_miles"":2400,""tank_capacity_gal"":400,""tank_count"":2,""tank_material"":""aluminum""}"
76,Electrical,Electronics,Telematics,Basic GPS Tracking,0.00,2.00,China,Economy,1.0,Simple GPS location tracking.,ENTRY,"{""eld_compliant"":false,""features"":[""GPS""],""telematics_level"":1}"
77,Electrical,Electronics,Telematics,Fleet Telematics Standard,1500.00,5.00,USA,Economy,2.0,"GPS, ELD compliance, fuel tracking.",STANDARD,"{""eld_compliant"":true,""features"":[""GPS"",""ELD"",""fuel-tracking""],""telematics_level"":2}"
82,Electrical,Lighting,Headlights,Halogen Headlights,0.00,8.00,Mexico,Safety,1.0,Standard halogen sealed beam.,ENTRY,"{""light_class"":""standard"",""light_type"":""halogen"",""lumens"":1200}"
88,Electrical,Power Generation,Alternator,160 Amp Alternator,0.00,28.00,Mexico,Power,1.0,Standard 160A for basic loads.,ENTRY,"{""electrical_class"":""standard"",""output_amps"":160}"
94,Electrical,Power Generation,Battery System,Dual 12V Standard Batteries,0.00,130.00,USA,Power,1.0,"Standard dual Group 31, 1900 CCA.",ENTRY,"{""battery_count"":2,""battery_type"":""lead-acid"",""cca_rating"":1900}"
95,Electrical,Power Generation,Battery System,Triple 12V Heavy-Duty,450.00,195.00,USA,Power,2.0,"Three Group 31, 2850 CCA.",STANDARD,"{""battery_count"":3,""battery_type"":""lead-acid"",""cca_rating"":2850}"
100,Engine,Cooling System,Fan Assembly,Belt-Drive Fixed Fan,0.00,45.00,USA,Cooling,1.0,Simple belt-driven fan.,ENTRY,"{""cfm_rating"":4500,""fan_type"":""belt-drive-fixed"",""max_cooling_btu"":220000}"
112,Engine,Emissions System,DEF System,Standard SCR System,0.00,145.00,USA,Emissions,1.0,"Basic SCR, EPA 2017 compliant.",ENTRY,"{""def_consumption_pct"":3,""emissions_standard"":""EPA-2017"",""nox_reduction_pct"":90}"
118,Engine,Engine Block,Engine Displacement,6.7L Medium-Duty Diesel,0.00,1100.00,USA,Power,1.0,"Compact diesel, best fuel economy.",ENTRY,"{""displacement_liters"":6.7,""engine_weight_lb"":1150,""max_hp_supported"":300,""max_torque_supported"":900}"
120,Engine,Engine Block,Engine Displacement,9L Mid-Range Diesel,4500.00,1250.00,USA,Power,2.0,Balance of power and efficiency.,STANDARD,"{""displacement_liters"":9,""engine_weight_lb"":1650,""max_hp_supported"":400,""max_torque_supported"":1400}"
124,Engine,Engine Block,Engine Displacement,15L Heavy-Haul Diesel,16000.00,1650.00,USA,Power,4.5,Maximum displacement.,FLAGSHIP,"{""displacement_liters"":15,""engine_weight_lb"":2850,""max_hp_supported"":600,""max_torque_supported"":2000}"
166,Front Axle,Steering,Steering Gear,Manual Steering Gear,0.00,85.00,USA,Safety,1.0,Basic manual power steering.,ENTRY,"{""axle_capacity_lb"":12000,""steering_class"":""basic"",""steering_type"":""manual"",""tie_rod_diameter_in"":1.125}"
167,Front Axle,Steering,Steering Gear,Power Steering Standard,950.00,95.00,USA,Safety,2.0,Hydraulic power steering.,STANDARD,"{""axle_capacity_lb"":14000,""steering_class"":""standard"",""steering_type"":""hydraulic"",""tie_rod_diameter_in"":1.25}"
178,Rear Axle,Rear Drive Assembly,Axle Ratio,2.47:1 Economy Ratio,150.00,0.00,USA,Economy,1.0,Tall gearing for max fuel economy.,ENTRY,"{""application"":""highway"",""ratio"":2.47,""ratio_class"":""ultra-economy""}"
177,Rear Axle,Rear Drive Assembly,Axle Ratio,2.85:1 Standard Ratio,0.00,0.00,USA,Economy,2.0,Balanced for general freight.,STANDARD,"{""application"":""highway"",""ratio"":2.85,""ratio_class"":""economy""}"
180,Rear Axle,Rear Drive Assembly,Axle Ratio,3.25:1 Performance Ratio,350.00,0.00,USA,Economy,3.5,"Better acceleration, hilly terrain.",PREMIUM,"{""application"":""hilly"",""ratio"":3.25,""ratio_class"":""performance""}"
183,Rear Axle,Rear Drive Assembly,Drive Configuration,4x2 Single Drive Axle,0.00,0.00,USA,Hauling,1.0,"Single drive axle, best economy.",ENTRY,"{""config"":""4x2"",""drive_axles"":1,""total_axles"":2,""traction_class"":""standard""}"
200,Rear Axle,Wheels & Tires,Tire Type,Standard Bias-Ply Tires,0.00,420.00,China,Economy,1.0,Budget tires for light duty.,ENTRY,"{""fuel_efficiency"":1,""load_rating"":""G"",""tire_type"":""bias-ply"",""tread_life_miles"":50000}"
201,Rear Axle,Wheels & Tires,Tire Type,Standard Radial Tires,1200.00,380.00,USA,Economy,2.0,Quality radial tires.,STANDARD,"{""fuel_efficiency"":2,""load_rating"":""H"",""tire_type"":""radial"",""tread_life_miles"":80000}"
206,Rear Axle,Wheels & Tires,Wheel Type,Steel Hub-Pilot Wheels,0.00,680.00,USA,Economy,1.0,Standard steel wheels.,ENTRY,"{""wheel_class"":""standard"",""wheel_type"":""steel-hub-pilot"",""wheel_weight_lb"":85}"
207,Rear Axle,Wheels & Tires,Wheel Type,Steel Disc Wheels,450.00,620.00,USA,Economy,2.0,Improved steel disc wheels.,STANDARD,"{""wheel_class"":""improved"",""wheel_type"":""steel-disc"",""wheel_weight_lb"":75}"
209,Rear Axle,Wheels & Tires,Wheel Type,Aluminum Wheels Standard,2200.00,420.00,China,Economy,3.5,"Forged aluminum, weight savings.",PREMIUM,"{""wheel_class"":""premium"",""wheel_type"":""forged-aluminum"",""wheel_weight_lb"":42}"
210,Rear Axle,Wheels & Tires,Wheel Type,Premium Polished Aluminum,4500.00,380.00,China,Economy,4.0,"Mirror-polished, show quality.",FLAGSHIP,"{""wheel_class"":""show"",""wheel_type"":""polished-aluminum"",""wheel_weight_lb"":45}"
212,Safety,Active Safety,Stability Control,Basic ABS System,0.00,45.00,USA,Safety,1.0,Standard 4-channel ABS.,ENTRY,"{""abs_channels"":4,""rollover_protection"":false,""stability_level"":1}"
218,Safety,Passive Safety,Mirror System,Manual West Coast Mirrors,0.00,25.00,USA,Safety,1.0,Basic manual adjust.,ENTRY,"{""heated"":false,""mirror_type"":""manual"",""power"":false}"
224,Transmission,Cooling,Transmission Cooler,Integrated Trans Cooler,0.00,15.00,USA,Cooling,1.0,Basic in-radiator cooling.,ENTRY,"{""cooler_type"":""integrated"",""cooling_capacity_btu"":15000}"
225,Transmission,Cooling,Transmission Cooler,External Trans Cooler,650.00,25.00,USA,Cooling,2.0,Separate external cooler.,STANDARD,"{""cooler_type"":""external"",""cooling_capacity_btu"":25000}"
231,Transmission,PTO System,PTO Configuration,Single PTO Opening,450.00,15.00,USA,Hauling,2.0,Single-speed output.,STANDARD,"{""pto_hp"":50,""pto_type"":""single""}"
232,Transmission,PTO System,PTO Configuration,Dual PTO System,1500.00,35.00,USA,Hauling,2.5,Front and rear PTO.,PREMIUM,"{""pto_hp"":100,""pto_type"":""dual""}"
236,Transmission,Transmission Assembly,Clutch System,Standard 14-inch Clutch,0.00,95.00,USA,Durability,1.0,Basic 14-inch single plate.,ENTRY,"{""clutch_class"":""standard"",""clutch_diameter_in"":14,""torque_capacity_lb_ft"":1100}"
239,Transmission,Transmission Assembly,Clutch System,15.5-inch Heavy-Duty Clutch,1800.00,125.00,USA,Durability,3.5,Higher torque rating.,PREMIUM,"{""clutch_class"":""heavy-duty"",""clutch_diameter_in"":15.5,""torque_capacity_lb_ft"":1850}"
242,Transmission,Transmission Assembly,Gear Ratios,Direct Drive Overdrive,0.00,0.00,USA,Economy,1.0,Fuel economy focus.,ENTRY,"{""gear_spread"":12.8,""overdrive"":true,""ratio_type"":""direct-drive""}"
243,Transmission,Transmission Assembly,Gear Ratios,Overdrive Transmission,450.00,0.00,USA,Economy,2.0,Balance of economy and performance.,STANDARD,"{""gear_spread"":14.2,""overdrive"":true,""ratio_type"":""overdrive""}"
5,Cab,Cab Structure,Cab Type,Crew Cab 4-Door,8500.00,1650.00,USA,Comfort,3.5,Four-door crew cab for vocational.,STANDARD,"{""cab_class"":""crew"",""cab_type"":""crew-cab"",""doors"":4,""interior_height_in"":60,""sleeper_length_in"":0}"
54,Chassis,Frame Assembly,Wheelbase,Mid-Length 228-inch,1200.00,65.00,USA,Hauling,3.5,Versatile mid-length wheelbase.,STANDARD,"{""application"":""versatile"",""turning_radius_ft"":36,""wheelbase_in"":228}"
184,Rear Axle,Rear Drive Assembly,Drive Configuration,6x2 Tag Axle,1800.00,380.00,USA,Hauling,2.0,Tag axle configuration.,STANDARD,"{""config"":""6x2-tag"",""drive_axles"":1,""total_axles"":3,""traction_class"":""standard""}"
233,Transmission,PTO System,PTO Configuration,Live PTO System,2200.00,45.00,USA,Hauling,3.5,Always-engaged PTO.,PREMIUM,"{""pto_hp"":75,""pto_type"":""live""}"
126,Engine,Engine Block,Power Rating,260 HP / 660 lb-ft,0.00,0.00,USA,Power,1.0,Entry-level power for light loads.,ENTRY,"{""cooling_requirement_btu"":180000,""horsepower"":260,""power_class"":""entry"",""torque_lb_ft"":660}"
128,Engine,Engine Block,Power Rating,350 HP / 1150 lb-ft,2500.00,15.00,USA,Power,2.0,Standard power for general freight.,STANDARD,"{""cooling_requirement_btu"":250000,""horsepower"":350,""power_class"":""standard"",""torque_lb_ft"":1150}"
135,Engine,Engine Block,Turbocharger,Single Fixed-Geometry Turbo,0.00,45.00,Japan,Power,1.0,Simple fixed turbo.,ENTRY,"{""boost_psi"":18,""max_hp_supported"":350,""turbo_type"":""fixed-geometry""}"
138,Engine,Engine Block,Turbocharger,Electric Assist Turbo,6500.00,58.00,Germany,Power,3.5,E-turbo for instant response.,PREMIUM,"{""boost_psi"":35,""max_hp_supported"":550,""turbo_type"":""electric-assist""}"
46,Chassis,Frame Assembly,Frame Rails,Corrosion-Resistant Frame,5500.00,3400.00,USA,Durability,3.0,Galvanized frame rails.,PREMIUM,"{""frame_class"":""corrosion-resistant"",""rbm_rating_in_lb"":2400000,""yield_strength_psi"":100000}"
37,Chassis,Fifth Wheel,Fifth Wheel Type,Low-Profile Fifth Wheel,1500.00,240.00,USA,Hauling,1.5,Lower deck height option.,STANDARD,"{""fifth_wheel_class"":""low-profile"",""gcwr_rating_lb"":70000,""king_pin_size_in"":2}"
89,Electrical,Power Generation,Alternator,200 Amp High-Efficiency,650.00,32.00,USA,Power,2.0,Efficient mid-range alternator.,STANDARD,"{""electrical_class"":""high-efficiency"",""output_amps"":200}"
142,Engine,Engine Brake,Engine Brake Type,Engine Compression Brake,2500.00,45.00,USA,Safety,2.0,Jake brake system.,STANDARD,"{""brake_stages"":1,""brake_type"":""compression"",""braking_hp"":300}"
154,Front Axle,Front Brakes,Front Brake Type,Drum Brakes Standard,0.00,180.00,USA,Safety,1.0,Conventional drum brakes.,ENTRY,"{""brake_class"":""standard"",""brake_type"":""drum"",""drum_diameter_in"":15,""gawr_rating_lb"":12000,""shoe_width_in"":4}"
171,Rear Axle,Rear Brakes,Rear Brake Type,Standard Drum Brakes,0.00,360.00,USA,Safety,1.0,Standard S-cam drum brakes.,ENTRY,"{""brake_class"":""standard"",""brake_type"":""drum"",""drum_diameter_in"":16.5,""gawr_rating_lb"":23000,""shoe_width_in"":5}"
44,Chassis,Frame Assembly,Frame Rails,Reinforced Crossmembers,2500.00,3100.00,USA,Durability,1.5,Extra crossmember bracing.,STANDARD,"{""frame_class"":""reinforced"",""rbm_rating_in_lb"":2200000,""yield_strength_psi"":110000}"
147,Front Axle,Axle Assembly,Axle Rating,"12,000 lb Front Axle",0.00,550.00,USA,Hauling,1.0,Light-duty front axle.,ENTRY,"{""axle_class"":""light"",""beam_thickness_in"":3.5,""gawr_lb"":12000,""kingpin_size_in"":2}"
149,Front Axle,Axle Assembly,Axle Rating,"14,600 lb Front Axle",1200.00,620.00,USA,Hauling,2.5,Standard Class 8 front axle.,STANDARD,"{""axle_class"":""standard"",""beam_thickness_in"":4,""gawr_lb"":14600,""kingpin_size_in"":2.25}"
50,Chassis,Frame Assembly,Wheelbase,Ultra-Short 156-inch,100.00,0.00,USA,Hauling,1.5,Minimum wheelbase for maneuverability.,ENTRY,"{""application"":""urban"",""turning_radius_ft"":22,""wheelbase_in"":156}"
106,Engine,Cooling System,Radiator,Standard Aluminum Radiator,0.00,95.00,USA,Cooling,1.0,Standard capacity.,ENTRY,"{""cooling_capacity_btu"":220000,""core_rows"":3,""radiator_class"":""standard""}"
110,Engine,Cooling System,Radiator,Heavy-Duty Cooling Package,2800.00,145.00,China,Cooling,4.0,Oversized with auxiliary cooler.,PREMIUM,"{""cooling_capacity_btu"":400000,""core_rows"":6,""radiator_class"":""heavy-duty""}"
111,Engine,Cooling System,Radiator,Extreme Duty Cooling,5500.00,185.00,China,Cooling,5.0,Maximum cooling capacity.,FLAGSHIP,"{""cooling_capacity_btu"":500000,""core_rows"":7,""radiator_class"":""extreme-duty""}"
109,Engine,Cooling System,Radiator,Extended Core Radiator,2000.00,130.00,China,Cooling,3.5,Extended core for moderate duty.,STANDARD,"{""cooling_capacity_btu"":320000,""core_rows"":5,""radiator_class"":""extended-core""}"
108,Engine,Cooling System,Radiator,Aluminum-Brass Radiator,1800.00,125.00,China,Cooling,2.5,Hybrid aluminum-brass design.,STANDARD,"{""cooling_capacity_btu"":280000,""core_rows"":4,""radiator_class"":""hybrid""}"
107,Engine,Cooling System,Radiator,High-Capacity Radiator,1200.00,115.00,China,Cooling,2.0,20% increased capacity.,STANDARD,"{""cooling_capacity_btu"":265000,""core_rows"":4,""radiator_class"":""high-capacity""}"
160,Front Axle,Front Suspension,Front Suspension Type,Tapered Leaf Spring,0.00,320.00,USA,Comfort,1.0,Traditional leaf springs.,ENTRY,"{""ride_quality"":""basic"",""shock_class"":""standard"",""spring_rating_lb"":12000,""suspension_type"":""leaf""}"
194,Rear Axle,Rear Suspension,Rear Suspension Type,Spring Rear Suspension,0.00,680.00,USA,Comfort,1.0,Traditional multi-leaf springs.,ENTRY,"{""ride_quality"":""basic"",""shock_class"":""standard"",""spring_rating_lb"":38000,""suspension_type"":""spring""}"
195,Rear Axle,Rear Suspension,Rear Suspension Type,Vocational Spring Package,1800.00,720.00,USA,Comfort,2.0,Heavy-duty vocational springs.,STANDARD,"{""ride_quality"":""vocational"",""shock_class"":""heavy-duty"",""spring_rating_lb"":52000,""suspension_type"":""spring""}"
197,Rear Axle,Rear Suspension,Rear Suspension Type,Low-Ride Air Suspension,4500.00,600.00,Germany,Comfort,3.5,Lowered ride height air system.,PREMIUM,"{""ride_quality"":""low-ride"",""shock_class"":""air-ride"",""spring_rating_lb"":38000,""suspension_type"":""air""}"
248,Transmission,Transmission Assembly,Transmission Type,10-Speed Manual,0.00,450.00,USA,Economy,2.0,Basic 10-speed manual.,ENTRY,"{""gear_count"":10,""torque_rating_lb_ft"":1400,""trans_class"":""basic"",""trans_type"":""manual""}"
11,Cab,Climate Control,HVAC System,Dual-Zone Climate Control,2800.00,65.00,USA,Comfort,3.5,Independent driver/passenger temperature zones.,PREMIUM,"{""cooling_btu"":32000,""hvac_type"":""automatic"",""zones"":2}"
23,Cab,Interior,Seating Configuration,Premium Air-Ride with Heat,3200.00,105.00,USA,Comfort,3.5,Heated/ventilated air-ride seat.,PREMIUM,"{""heating"":true,""seat_type"":""premium-air-ride"",""suspension"":""air"",""ventilation"":true}"
103,Engine,Cooling System,Fan Assembly,Electric Fan with Clutch,1800.00,72.00,USA,Cooling,3.5,Electronically-controlled fan.,PREMIUM,"{""cfm_rating"":6500,""fan_type"":""electric-clutch"",""max_cooling_btu"":380000}"
113,Engine,Emissions System,DEF System,Enhanced SCR System,1500.00,165.00,USA,Emissions,2.0,Improved DEF dosing.,STANDARD,"{""def_consumption_pct"":2.5,""emissions_standard"":""EPA-2021"",""nox_reduction_pct"":94}"
115,Engine,Emissions System,DEF System,Advanced Emissions Package,3500.00,195.00,USA,Emissions,3.5,"Integrated DPF/SCR, near-zero NOx.",PREMIUM,"{""def_consumption_pct"":2.2,""emissions_standard"":""EPA-2024"",""nox_reduction_pct"":97}"
189,Rear Axle,Rear Drive Assembly,Traction Control,ABS with Traction Control,1500.00,35.00,USA,Safety,2.0,Improved starts in slippery conditions.,STANDARD,"{""stability_control"":false,""traction_level"":2,""traction_type"":""ABS-TC""}"
203,Rear Axle,Wheels & Tires,Tire Type,Low-Rolling-Resistance Tires,2800.00,350.00,USA,Economy,3.5,"SmartWay verified, 3-5% fuel savings.",PREMIUM,"{""fuel_efficiency"":5,""load_rating"":""H"",""smartway_verified"":true,""tire_type"":""low-rolling"",""tread_life_miles"":120000}"
136,Engine,Engine Block,Turbocharger,Variable Geometry Turbo,2200.00,52.00,USA,Power,2.0,"VGT, reduced turbo lag.",STANDARD,"{""boost_psi"":28,""max_hp_supported"":450,""turbo_type"":""variable-geometry""}"
137,Engine,Engine Block,Turbocharger,Twin-Scroll VGT,4500.00,68.00,USA,Power,2.5,Better low-end torque.,PREMIUM,"{""boost_psi"":32,""max_hp_supported"":500,""turbo_type"":""twin-scroll-vgt""}"
139,Engine,Engine Block,Turbocharger,Compound Turbo System,8500.00,95.00,USA,Power,4.0,"Series turbos, max boost.",FLAGSHIP,"{""boost_psi"":42,""max_hp_supported"":600,""turbo_type"":""compound""}"
144,Engine,Engine Brake,Engine Brake Type,Integrated Retarder System,5500.00,85.00,USA,Safety,3.5,Engine brake plus driveline retarder.,PREMIUM,"{""brake_stages"":2,""brake_type"":""integrated-retarder"",""braking_hp"":500}"
71,Electrical,Electronics,ADAS Features,Rear Cross-Traffic Alert,2200.00,20.00,Japan,Safety,2.0,Backing collision prevention.,STANDARD,"{""adas_level"":1,""features"":[""rear-cross-traffic""],""sensors"":[""rear-radar""]}"
83,Electrical,Lighting,Headlights,Fog Light Package,450.00,5.00,USA,Safety,2.0,Auxiliary fog lights.,STANDARD,"{""light_class"":""fog-package"",""light_type"":""halogen-fog"",""lumens"":1500}"
215,Safety,Active Safety,Stability Control,Trailer Stability Assist,2500.00,60.00,Germany,Safety,3.5,Trailer sway control.,STANDARD,"{""abs_channels"":6,""rollover_protection"":true,""stability_level"":3,""trailer_stability"":true}"
219,Safety,Passive Safety,Mirror System,Convex Spot Mirrors,250.00,28.00,USA,Safety,2.0,Additional convex mirrors.,STANDARD,"{""heated"":false,""mirror_type"":""convex-spot"",""power"":false}"
190,Rear Axle,Rear Drive Assembly,Traction Control,Limited-Slip Differential,1800.00,38.00,USA,Safety,2.5,Mechanical limited slip.,STANDARD,"{""stability_control"":false,""traction_level"":2,""traction_type"":""limited-slip""}"
